   1QSRCGSR     PASO        SATPCR31BK  RPGLE       Resumen de Transacciones por Tienda Dia
   1QSRCGSR     PASO        SATPCR32    RPGLE       Resumen de Transacciones por Tienda 7 DIAS 1 MESES
   1QSRCGSR     PASO        SATPCR33    RPGLE       Resumen de Transacciones por Tienda 7 DIAS 12 MESE
   1QSRCGSR     PASO        SATPCR34    RPGLE       Resumen de Transacciones por Tienda 7 DIAS 1 MESES
   1QSRCGSR     PASO        SATPCR40    RPGLE       Reporte de Ventas
   1QSRCGSR     PASO        SATPCR42    RPGLE       Ventas - Ajustes
   1QSRCGSR     PASO        SATPCR43    RPGLE       Ventas - Recibos por mes
   1QSRCGSR     PASO        SATPCR44    RPGLE       Ventas - Inventario por mes
   1QSRCGSR     PASO        SATPCR45    RPGLE       Ventas - Div Proceso
   1QSRCGSR     PASO        SATPCR46    SQLRPGLE    Ventas - Datos
   1QSRCGSR     PASO        SATPCR47    RPGLE       Ventas - Recuperacion de Ventas
   1QSRCGSR     PASO        SATPCR48    RPGLE       Ventas - Reporte final
   1QSRCGSR     PASO        SATPCR50    RPGLE       Carga Observaciones Convenio
   1QSRCGSR     PASO        SATPCR98    RPGLE       Actualiza el archivo ESTIL00001
   1QSRCGSR     PASO        SATPCR99    RPGLE       Eventos de Precio
   1QSRCGSR     PASO        SATPC001    LF          pasol
   1QSRCGSR     PASO        SATPC01     LF          pasol
   1QSRCGSR     PASO        SATPF001    PF          Eventos de Precio
   1QSRCGSR     PASO        SATPF008    PF          Reprogramacion masiva
   1QSRCGSR     PASO        SATPR001    RPGLE       Eventos de Precio
   1QSRCGSR     PASO        SATTAB0506  RPGLE       Convenio - Alineacion de compradores
   1QSRCGSR     PASO        SATTMP01    PF          Temporal Favor de Borrar
   1QSRCGSR     PASO        SATXXXF1    PF          Resumen General
   1QSRCGSR     PASO        SATXXXF2    PF          Resumen proveedor
   1QSRCGSR     PASO        SATXXXF3    PF          Resumen x Departamento
   1QSRCGSR     PASO        SATXXXF4    PF          Resumen General
   1QSRCGSR     PASO        SATXXXF5    PF          Resumen proveedor
   1QSRCGSR     PASO        SATXXXF6    PF          Resumen x Departamento
   1QSRCGSR     PASO        SATXXXPF1   PF          CARGA DE ESTILOS 24012019
   1QSRCGSR     PASO        SAT072WCTL  PF          Inventaior Costo - control
   1QSRCGSR     PASO        SAT072WC1   CLLE        Inventaior Costo - CL
006 31/08/19  11:04:31                                                                     PÁGINA    3
   2Archivo     Biblioteca  Miembro     Tipo        TEXT
   1                                    Fuente      Texto'descripción'
   2QSRCGSR     PASO        SAT072WD    DSPF        Inventaior Costo - DSP
   1QSRCGSR     PASO        SAT072WPF   PF          Inventaior Costo - Resumen
   1QSRCGSR     PASO        SAT072WR    RPGLE       Inventaior Costo - Pantalla
   1QSRCGSR     PASO        SAT072WR0   RPGLE       Inventaior Costo - Divide
   1QSRCGSR     PASO        SAT072WR1   SQLRPGLE    Inventaior Costo - Resume
   1QSRCGSR     PASO        SAT072WR2   RPGLE       Inventaior Costo - Recupera
   1QSRCGSR     PASO        SAT072YCTL  PF          Inventaior Costo - control
   1QSRCGSR     PASO        SAT072YC1   CLLE        Inventaior Costo - CL
   1QSRCGSR     PASO        SAT072YD    DSPF        Inventaior Costo - DSP
   1QSRCGSR     PASO        SAT072YPF   PF          Inventaior Costo - Resumen
   1QSRCGSR     PASO        SAT072YR    RPGLE       Inventaior Costo - Pantalla
   1QSRCGSR     PASO        SAT072YR0   RPGLE       Inventaior Costo - Divide
   1QSRCGSR     PASO        SAT072YR1   SQLRPGLE    Inventaior Costo - Resume
   1QSRCGSR     PASO        SAT072YR2   RPGLE       Inventaior Costo - Recupera
   1QSRCGSR     PASO        SAT103R0    RPGLE       Recibos - Div Proceso
   1QSRCGSR     PASO        SAT104R1    RPGLE       REPLENISHMENT PARAMETER MAINTENANCE PROGRAM.RPL201
   1QSRCGSR     PASO        SAT104R2    RPGLE       REPLENISHMENT PARAMETER MAINTENANCE PROGRAM.RPL201
   1QSRCGSR     PASO        SAT177FT01  PF          Convenio - Cambio de Tablas de Accion Masivo
   1QSRCGSR     PASO        SAT177FWWW  PF          Convenio - Carga estilos para rebaja diferenciada
   1QSRCGSR     PASO        SAT177FXXX  PF          Convenio - Carga de Bonificación por omisión
   1QSRCGSR     PASO        SAT177FZZZ  PF          Convenio - Carga  de Estilos
   1QSRCGSR     PASO        SAT177F003  PF          Convenio - Carga de Bonificación por omisión
   1QSRCGSR     PASO        SAT177F004  PF          Convenio - ESTA EN PRODUCCION
   1QSRCGSR     PASO        SAT177F005  PF          Convenio - Carga omision de estilos para CXO
   1QSRCGSR     PASO        SAT177F009  PF          Convenio - Carga  de Estilos dif para HOME
   1QSRCGSR     PASO        SAT177F010  PF          Convenio - Carga  de Estilos dif para HOME
   1QSRCGSR     PASO        SAT177F011  PF          Convenio - Tiendas Home
   1QSRCGSR     PASO        SAT177F012  PF          Convenio - Tiendas Home %
   1QSRCGSR     PASO        SAT177F013  PF          Convenio - Tiendas MILANO TIENDAS
   1QSRCGSR     PASO        SAT177F015  PF          Convenio - Tiendas MILANO general
   1QSRCGSR     PASO        SAT177F016  LF          Convenio - Elimina estilos ya etiquetados
   1QSRCGSR     PASO        SAT177F017  PF          Convenio - Tiendas MILANO TIENDAS
   1QSRCGSR     PASO        SAT177F17F  PF          Convenio - Lista de correos Diferenciados
   1QSRCGSR     PASO        SAT177F23I  PF          Convenio - Estilos x TDA para rebaja Diferenciada
   1QSRCGSR     PASO        SAT177F25   PF          Convenio - Rebajas Diferenciadas
   1QSRCGSR     PASO        SAT177F25I  LF          Convenio - Rebajas Diferenciadas por precio
   1QSRCGSR     PASO        SAT177F25L  LF          Convenio - Rebajas Diferenciadas por precio
   1QSRCGSR     PASO        SAT177F25X  LF          Convenio - logico por Fecha Proveedor Estilo
   1QSRCGSR     PASO        SAT177F29D  PF          Convenio - Envio de Correos Devoluciones
   1QSRCGSR     PASO        SAT177F29F  PF          Convenio - Envio de Correos Diferenciados
   1QSRCGSR     PASO        SAT177F35   PF          Convenio - Rebajas Diferenciadas
   1QSRCGSR     PASO        SAT177F4XX  PF          Convenio - Carga de Estilos
   1QSRCGSR     PASO        SAT177F40   PF          Convenio - Estilos de temporada y de import
   1QSRCGSR     PASO        SAT177F40L  LF          Convenio - Estilos de temporada y de import
   1QSRCGSR     PASO        SAT177F52   PF          Convenio Temporada - Temporadas Cabecero
   1QSRCGSR     PASO        SAT177F53   PF          Convenio Temporada - Temporadas Detalle
   1QSRCGSR     PASO        SAT177F54   PF          Convenio Temporada - Calendario de Programaciones
   1QSRCGSR     PASO        SAT177F55   PF          Convenio Temporada - Evento de Calificacion Semana
   1QSRCGSR     PASO        SAT177F56   PF          Convenio Temporada - Calendario por Fecha
   1QSRCGSR     PASO        SAT177F57   PF          Convenio Temporada - Tabla de Simulador
006 31/08/19  11:04:31                                                                     PÁGINA    4
   2Archivo     Biblioteca  Miembro     Tipo        TEXT
   1                                    Fuente      Texto'descripción'
   2QSRCGSR     PASO        SAT177F58   PF          Convenio Temporada - Tabla de Precalificacion
   1QSRCGSR     PASO        SAT177F59   PF          Convenio Temporada - Tabla de calificacion Melody
   1QSRCGSR     PASO        SAT177F59A  LF          Convenio - Dif. Exacto por Proveedor/Estilo
   1QSRCGSR     PASO        SAT177F59B  LF          Convenio - Diferenciados por Proveedor/Estilo Fech
   1QSRCGSR     PASO        SAT177F59C  LF          Convenio - Dif. Exacto por Jearaquia Fecha
   1QSRCGSR     PASO        SAT177F59D  LF          Convenio - Dif. Marca, comprador, Fecha
   1QSRCGSR     PASO        SAT177F59E  LF          Convenio - Dif. Marca, comprador, tipo, Fecha
   1QSRCGSR     PASO        SAT177F59F  LF          Convenio - Dif. Marca, Fecha, Provee, Estilo
   1QSRCGSR     PASO        SAT177F59G  LF          Convenio - Diferenciados por Proveedor/Estilo tpo
   1QSRCGSR     PASO        SAT177F59H  LF          Convenio - Diferenciados por Proveedor/Estilo tpo
   1QSRCGSR     PASO        SAT177F59I  LF          Convenio - Dif. Exacto por Proveedor/Estilo
   1QSRCGSR     PASO        SAT177F59J  LF          Convenio - Marca, Prv, Sty, Fca, Ord, Frb, Tmp
